,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,53.400000000000496,123.27318665984821,5.087479470939325,4.263339074835784,138.52259083185749,115.8143197740782,0.19941053895111566,3.20914714809007,56.222417688935906
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,85.8999999999993,93.74563981336328,4.713359420606772,3.6150140872152585,208.33905898452858,160.2418357207268,0.38454341390591423,2.794468754691808,64.30803805508671
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,259.19999999999635,125.05644315108341,4.42357952297689,5.955062481387478,205.83610728610336,98.09498332008553,0.369734042644432,2.5107873908341074,54.49523512900447
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,160.59999999999525,103.01191558048494,3.937981035843883,4.572415154997858,122.24835526929459,158.8489487797889,0.4293581545054974,1.6918196881017211,64.49664055757412
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,258.1999999999955,132.13325855434275,4.624869027534264,2.635402066760304,170.69549763383293,178.1703685203554,0.27540450602246325,1.2199990337755358,46.84280126540311
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,201.5999999999948,103.49293828300364,2.842959416873862,2.3858473568570586,147.27855481438365,157.0251959094324,0.3418281662072822,4.084042435506761,55.24141830525683
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,250.19999999999476,78.17146214241501,4.354196971734661,2.5869923027221926,146.4409906993137,179.538627369325,0.2708779559147939,2.989677185239354,49.96308308038596
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,162.39999999999446,71.25044217221054,5.1251290361898985,5.094256321379959,222.30139965270666,136.40271709838464,0.23253207060852996,1.616203456088337,51.00216528089985
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,257.2999999999947,77.96174942665124,2.666157646203986,4.112672321743,73.14500415747219,166.2897881649997,0.3552827451512195,3.2207354910787673,67.35037813942213
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,202.3999999999943,106.4373937842647,2.511837215207591,4.5907803175272734,126.47493709764267,83.29561433546326,0.2954912470033032,2.670274658045633,64.91154126796853
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,162.59999999999442,82.89351516977857,2.1103105719020503,1.4015863051239101,87.13964790110361,214.9548099084651,0.21380165033394427,2.7574626511131277,47.96860003573713
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,110.99999999999797,141.1319935737146,2.3282524494583496,5.22223298840038,187.23265986190205,131.56434000602792,0.24331143484589274,2.1182238440702132,44.138412893734355
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,174.599999999994,100.32736147410402,3.763299128255972,4.46971955865394,150.86259577888964,142.81453989034623,0.2894864778623304,3.57321809556912,52.17939706907029
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,224.89999999999398,80.70584033235502,3.08938936536693,3.269992700834837,136.44798540276417,180.66259351932342,0.1706651158740586,0.7617233700401842,64.89969949169205
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,208.19999999999396,134.7823217802662,3.6997923830599175,2.8484615175559918,186.51748472711438,176.63022598794643,0.39919523108000454,4.884961995171077,59.78970114678182
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,174.1999999999939,83.60751817398257,4.899478462277749,2.8193549254318944,140.45226034390708,122.74736768365022,0.22652081697080229,1.7870636614966147,60.0304642713122
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,219.89999999999387,121.52917847823375,4.324629923155707,1.799005843717677,114.56475627472254,90.32821282001834,0.26569617168624643,3.0972664587549508,51.88582055979079
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,82.1999999999996,74.18707664966487,2.695899466192031,2.673528052700855,125.85332466950304,171.85436059412166,0.2700450082847505,2.517008310643637,66.78164921375395
,age-at-death,speed,turn-speed,fov,view-dist,max-energy,metabolism-rate,find-mate-rate,max-desire-to-mate
0,111.69999999999793,91.36457411472904,2.321001574174174,0.732436708980535,164.57470477927035,156.28506260867536,0.1399981275353042,1.1136380637396603,60.429703860462794
